GOLD,GBP,JPY,EUR,DAX
decrease,increase,decrease,decrease,increase
increase,increase,decrease,decrease,increase
increase,decrease,decrease,increase,decrease
decrease,decrease,increase,decrease,decrease
decrease,increase,decrease,increase,decrease
increase,increase,increase,increase,increase
decrease,increase,decrease,decrease,increase
increase,increase,decrease,increase,decrease
decrease,increase,decrease,increase,increase
decrease,increase,decrease,decrease,increase
increase,increase,decrease,increase,increase
increase,decrease,increase,decrease,increase
increase,increase,increase,increase,decrease
decrease,decrease,increase,increase,increase
decrease,increase,increase,decrease,increase
decrease,increase,decrease,decrease,increase
increase,decrease,increase,increase,increase
increase,increase,increase,increase,decrease
decrease,increase,decrease,decrease,increase
increase,decrease,increase,increase,decrease
increase,decrease,increase,increase,decrease
decrease,increase,decrease,decrease,increase
decrease,decrease,decrease,decrease,decrease
decrease,increase,increase,decrease,decrease
increase,decrease,decrease,decrease,increase
increase,increase,increase,decrease,decrease
decrease,decrease,decrease,increase,increase
decrease,decrease,decrease,decrease,increase
decrease,decrease,decrease,decrease,increase
decrease,decrease,decrease,decrease,increase
increase,increase,decrease,increase,increase
decrease,increase,decrease,increase,increase
increase,decrease,decrease,decrease,increase
increase,increase,decrease,decrease,decrease
decrease,increase,decrease,decrease,increase
increase,decrease,increase,increase,decrease
increase,increase,increase,increase,decrease
decrease,increase,decrease,increase,increase
decrease,decrease,increase,increase,decrease
decrease,decrease,decrease,increase,decrease
decrease,decrease,decrease,decrease,increase
increase,increase,increase,increase,decrease
decrease,increase,decrease,increase,increase
decrease,increase,decrease,increase,increase
increase,decrease,increase,decrease,decrease
increase,increase,increase,increase,decrease
decrease,decrease,decrease,increase,increase
decrease,decrease,increase,increase,decrease
decrease,decrease,decrease,increase,decrease
decrease,decrease,decrease,decrease,increase
decrease,decrease,increase,decrease,decrease
increase,decrease,decrease,increase,increase
increase,increase,decrease,decrease,increase
increase,decrease,increase,increase,decrease
decrease,decrease,decrease,increase,increase
increase,decrease,increase,decrease,decrease
increase,increase,decrease,decrease,decrease
increase,increase,decrease,increase,increase
increase,increase,increase,increase,decrease
decrease,decrease,decrease,decrease,increase
increase,increase,decrease,increase,decrease
increase,increase,increase,increase,increase
decrease,increase,increase,increase,decrease
increase,increase,increase,increase,decrease
decrease,increase,increase,increase,increase
decrease,decrease,decrease,decrease,decrease
decrease,decrease,decrease,decrease,decrease
decrease,increase,decrease,decrease,increase
increase,increase,decrease,decrease,increase
decrease,decrease,decrease,increase,decrease
decrease,increase,decrease,increase,increase
increase,increase,decrease,increase,decrease
decrease,increase,decrease,decrease,increase
increase,decrease,decrease,increase,decrease
decrease,decrease,decrease,decrease,decrease
increase,decrease,increase,decrease,decrease
increase,increase,increase,increase,decrease
increase,increase,increase,increase,decrease
increase,decrease,decrease,decrease,increase
decrease,decrease,increase,decrease,decrease
decrease,decrease,increase,decrease,decrease
increase,increase,increase,decrease,decrease
increase,increase,decrease,increase,decrease
increase,decrease,increase,increase,increase
increase,decrease,decrease,decrease,increase
decrease,decrease,increase,decrease,increase
decrease,increase,decrease,decrease,decrease
decrease,decrease,decrease,decrease,decrease
decrease,decrease,decrease,decrease,increase
decrease,decrease,increase,decrease,decrease
decrease,increase,decrease,decrease,increase
increase,increase,increase,increase,increase
increase,increase,increase,increase,decrease
decrease,increase,decrease,increase,decrease
increase,increase,increase,increase,decrease
increase,decrease,increase,increase,decrease
decrease,decrease,decrease,decrease,increase
decrease,increase,increase,increase,increase
increase,increase,increase,increase,decrease
increase,decrease,increase,increase,increase
increase,decrease,increase,increase,decrease
increase,increase,increase,increase,increase
decrease,increase,increase,decrease,decrease
increase,increase,decrease,increase,increase
increase,decrease,increase,increase,decrease
increase,decrease,increase,increase,decrease
decrease,increase,decrease,decrease,decrease
increase,increase,increase,decrease,decrease
decrease,decrease,increase,increase,decrease
increase,increase,decrease,decrease,increase
decrease,increase,decrease,decrease,increase
increase,decrease,decrease,decrease,decrease
decrease,decrease,decrease,increase,increase
decrease,increase,increase,decrease,decrease
increase,decrease,increase,increase,decrease
decrease,increase,decrease,decrease,increase
decrease,increase,decrease,increase,increase
decrease,increase,increase,increase,increase
decrease,increase,decrease,increase,increase
decrease,increase,decrease,increase,increase
increase,decrease,decrease,decrease,decrease
decrease,increase,decrease,increase,increase
increase,decrease,decrease,decrease,decrease
increase,decrease,increase,decrease,decrease
increase,decrease,increase,increase,decrease
increase,decrease,decrease,increase,decrease
increase,decrease,increase,decrease,decrease
decrease,increase,decrease,increase,increase
decrease,increase,decrease,increase,increase
increase,decrease,increase,decrease,decrease
decrease,decrease,increase,decrease,decrease
increase,increase,increase,decrease,decrease
decrease,increase,decrease,decrease,decrease
decrease,decrease,decrease,decrease,increase
decrease,increase,decrease,decrease,increase
decrease,increase,decrease,increase,increase
increase,increase,decrease,decrease,decrease
increase,decrease,decrease,increase,decrease
decrease,decrease,increase,increase,decrease
increase,decrease,increase,decrease,decrease
decrease,decrease,decrease,increase,increase
increase,decrease,increase,decrease,decrease
decrease,increase,increase,increase,increase
decrease,decrease,increase,increase,increase
increase,increase,increase,increase,increase
increase,increase,increase,increase,decrease
decrease,decrease,decrease,decrease,decrease
increase,increase,increase,increase,increase
increase,decrease,decrease,increase,decrease
decrease,increase,decrease,decrease,decrease
decrease,increase,increase,increase,decrease
decrease,decrease,decrease,decrease,increase
decrease,decrease,decrease,decrease,decrease
decrease,increase,increase,decrease,increase
decrease,increase,increase,decrease,increase
increase,decrease,decrease,decrease,decrease
decrease,decrease,increase,increase,decrease
increase,increase,increase,decrease,decrease
increase,increase,increase,increase,decrease
decrease,increase,decrease,increase,decrease
decrease,decrease,decrease,decrease,increase
decrease,increase,increase,increase,decrease
increase,increase,decrease,decrease,increase
increase,increase,decrease,decrease,decrease
decrease,decrease,decrease,decrease,increase
increase,increase,decrease,increase,increase
decrease,decrease,decrease,decrease,decrease
increase,increase,increase,decrease,increase
increase,decrease,increase,increase,increase
decrease,decrease,increase,decrease,decrease
increase,decrease,increase,increase,decrease
increase,increase,increase,decrease,increase
increase,increase,increase,decrease,decrease
decrease,increase,increase,increase,increase
increase,decrease,increase,increase,decrease
increase,decrease,increase,increase,increase
decrease,decrease,increase,decrease,increase
decrease,decrease,increase,decrease,decrease
decrease,decrease,decrease,increase,increase
decrease,decrease,decrease,decrease,decrease
decrease,increase,decrease,decrease,decrease
increase,increase,increase,decrease,increase
increase,increase,increase,increase,increase
increase,decrease,decrease,increase,increase
increase,increase,increase,decrease,increase
increase,decrease,increase,increase,increase
increase,decrease,decrease,decrease,decrease
increase,increase,decrease,increase,increase
decrease,decrease,decrease,increase,decrease
increase,increase,decrease,decrease,decrease
decrease,decrease,decrease,increase,decrease
decrease,decrease,increase,decrease,decrease
increase,increase,increase,increase,increase
decrease,decrease,decrease,decrease,increase
increase,decrease,increase,increase,increase
increase,decrease,decrease,decrease,decrease
increase,increase,increase,increase,increase
decrease,decrease,increase,increase,decrease
increase,increase,increase,increase,decrease
increase,decrease,increase,decrease,increase
increase,increase,decrease,increase,increase
decrease,increase,decrease,increase,increase
